video ID,View Count,Like Count,Dislike Count
ryr75N0nki0,43889444,926479,47438
rz4Dd1I_fX0,1978390,89838,1060
s-UkMTr040g,142905,5914,67
s403m3x8zuM,1191837,57806,2194
sRtbhesDxv4,1978588,57366,1575
sbN6zthDv4s,6745409,80710,7920
smjf3M6-1XE,1208720,31091,954
t07cXwpGZWI,958069,27931,3180
tdeueWbTr3s,4902614,329936,6214
thJggxdQFQ0,779569,17559,340
u7ravnc5dio,9459735,409213,50067
uAQ3L1jldLg,1382978,55489,1656
uEh2nwrivqk,5002238,133003,5461
ue2RgOlTRpE,4523,88,4
v4BqP-uF_sw,3562874,37312,1332
vg9qPXpniQ4,768164,44377,443
vm4SoNdVLpo,146821,7587,62
vtrGmp-gPGo,164967,8359,37
wAuW7Jq5b0s,1626267,73814,1097
wBIGQSNdCww,729720,10864,420
wKVAAyx6SbY,108178,6533,131
wOQ8H2t6I1I,3274265,86087,5046
wfWIs2gFTAM,79846030,1609726,43981
wvWpdrfoEv0,829159,48560,232
xpsoFymwuBY,15049,214,95
xsTgbspi6Gs,20423,653,52
yArprk0q9eE,1567069,64120,953
ycy30LIbq4w,10401055,500112,4922
ycz8le2fB0Y,135918,7588,128
ymE0KLUiZhc,472016,21701,332
yoamAzg_cAo,11579,195,29
z3lVPFYrwWg,597391,36013,9265
zgNpNJHEAis,3672607,34746,1511
zkG4Xpz6t68,97270296,942524,165600
zzKLQLuaRAA,3700164,282960,18074
